time,pos_x,pos_y
6.884187,-0.004857208,0.029083035
6.888181,-0.004857208,0.029083035
6.892332,-0.004857208,0.029083035
6.896343,-0.004857208,0.029083035
6.900487,-0.004857208,0.029083035
6.904502,-0.004857208,0.029083035
6.908734,-0.004857208,0.029083035
6.912707,-0.004857208,0.029083035
6.916842,-0.004825462,0.029083029
6.920868,-0.004793716,0.029051279
6.924999,-0.004730217,0.029051279
6.929029,-0.004698471,0.029051279
6.933194,-0.004666725,0.029019529
6.937307,-0.004603233,0.029019529
6.941316,-0.004539726,0.028987778
6.945351,-0.004444466,0.028924276
6.949475,-0.004380974,0.028892525
6.953591,-0.004285744,0.028797279
6.957749,-0.004190483,0.028702024
6.961743,-0.004126976,0.028606777
6.96593,-0.004031738,0.028511526
6.969849,-0.003936501,0.028352776
6.973962,-0.003841248,0.028225777
6.978008,-0.003777733,0.028035275
6.982123,-0.003682495,0.027813025
6.986324,-0.003619003,0.027654274
6.990288,-0.003555496,0.027336775
6.994329,-0.003491989,0.027114525
6.998446,-0.003460243,0.026892277
7.002489,-0.003460243,0.026606527
7.006602,-0.003460243,0.026384277
7.010651,-0.003460243,0.026130278
7.01476,-0.003491989,0.02584453
7.018825,-0.003555496,0.025622276
7.022921,-0.003619003,0.025368279
7.027013,-0.003714241,0.025114283
7.031105,-0.003777733,0.024892031
7.035292,-0.003872993,0.024638033
7.039284,-0.003968246,0.024320532
7.04338,-0.004063484,0.024098282
7.047465,-0.00415873,0.02384428
7.051566,-0.004253975,0.023622036
7.055642,-0.004317482,0.023399786
7.059723,-0.00441272,0.023145784
7.063804,-0.004476219,0.022923538
7.067884,-0.004539726,0.022669538
7.071965,-0.004603233,0.022383789
7.076042,-0.004666725,0.022161539
7.080123,-0.004698471,0.02187579
7.084277,-0.004761971,0.02155829
7.088285,-0.004793716,0.021209042
7.092365,-0.004793716,0.020891541
7.096445,-0.004825462,0.020574039
7.100522,-0.004825462,0.020256538
7.104603,-0.004825462,0.01987554
7.108681,-0.004825462,0.019589792
7.112764,-0.004825462,0.019208792
7.116852,-0.004825462,0.018859539
7.120932,-0.004793716,0.018542044
7.125013,-0.004761971,0.018192791
7.129104,-0.004730217,0.017780045
7.133307,-0.004698471,0.017462543
7.137261,-0.004634979,0.016986292
7.141344,-0.004571487,0.016637043
7.145423,-0.00450798,0.016287794
7.149498,-0.004444466,0.015938543
7.153645,-0.004380974,0.015652792
7.157702,-0.004317482,0.015303542
7.161744,-0.004253975,0.014954296
7.165894,-0.004190475,0.014700294
7.169907,-0.004126976,0.014351043
7.173992,-0.004063484,0.014033545
7.178071,-0.003999985,0.013747795
7.182308,-0.00393647,0.013430295
7.186239,-0.003745979,0.012604795
7.190325,-0.003650726,0.012319045
7.1944,-0.003555489,0.012001544
7.19848,-0.003460243,0.011715795
7.202556,-0.003364983,0.011398294
7.20671,-0.003269737,0.011080797
7.210718,-0.003174492,0.010795045
7.214794,-0.003079254,0.010477547
7.218884,-0.002920486,0.010128295
7.222961,-0.002825256,0.009842545
7.22704,-0.00269825,0.009525044
7.231119,-0.002539505,0.009144045
7.235282,-0.002444267,0.008858294
7.23928,-0.002253754,0.008445544
7.243357,-0.002126755,0.008159794
7.247438,-0.001999756,0.007874044
7.251518,-0.001872749,0.007556545
7.255596,-0.001745758,0.007302544
7.259675,-0.001650513,0.007048544
7.263759,-0.00149176,0.006762794
7.267833,-0.001396507,0.006540544
7.271915,-0.001301277,0.006254795
7.275992,-0.001174263,0.006000793
7.280073,-0.001079018,0.005778544
7.284271,-0.00098378,0.005556294
7.288236,-0.000888527,0.005302293
7.292315,-0.000793266,0.005080043
7.296393,-0.000729774,0.004826043
7.300474,-0.000666283,0.004635542
